codice_identificativo;codice_istat;denominazione;comune;prov;cap;Indirizzo;superficie;tot_consistenza_documenti;spese_tot;WGS84_Y;WGS84_X
1;18110;Pavia - Biblioteca Circoscrizionale Pavia est;PAVIA;PV;27100;VIA POLLAIOLI 30;100;9884;500;45,18002062;9,19072731
2;16101;Fontanella - Biblioteca Comunale Mario Baiettini;FONTANELLA;BG;24056;PIAZZA 12-nov 53;;;;;
3;18038;Castelletto di Branduzzo - Biblioteca Comunale;CASTELLETTO DI BRANDUZZO;PV;27040;VIA ROMA 37;95;2736;2000;45,07080241;9,09841104
4;18180;Villanterio - Biblioteca Comunale;VILLANTERIO;PV;27019;PIAZZA CASTELLO 11;160;7000;3407,2;45,2179826;9,36037541
5;14014;Castello dell'Acqua - Biblioteca Comunale;CASTELLO DELL'ACQUA;SO;23030;PIAZZA ROMA 1;60;0;;46,1456986;10,0131014
6;13075;Como - Biblioteca dell'Istituto di Storia Contemporanea;COMO;CO;22100;VIA BRAMBILLA 39;200;39042;4500;45,81407448;9,0872029
7;14074;Val Masino - Biblioteca Comunale;VAL MASINO;SO;23010;VIA ROMA 2;10;3300;4444;46,22345;9,6355231
8;98012;Caselle Lurani - Biblioteca Comunale;CASELLE LURANI;LO;26853;VIA ROMA 14;70;5359;3001,45;45,27870175;9,357515
9;18093;Miradolo Terme - Biblioteca Comunale Benedetta Ferrari Dagrada;MIRADOLO TERME;PV;27010;VIA GARIBALDI 46;25;;;;
10;19035;Crema - Biblioteca del Museo Civico;CREMA;CR;26013;VIA DANTE ALIGHIERI 49;192;20780;240000;45,361854;9,69058347
11;20049;Revere - Biblioteca Comunale;REVERE;MN;46036;PIAZZA CASTELLO 12;50;6778;8416,73;45,05802385;11,12774495
12;15146;Milano - Civica Raccolta delle Stampe  A. Bertarelli;MILANO;MI;20131;CASTELLO SFORZESCO ;55;897491;349217;45,46631337;9,09126462
13;18117;Ponte Nizza - Biblioteca Comunale;PONTE NIZZA;PV;27050; P.ZA ITALO PIETRA S.N. ;50;2700;494,4;;
14;108028;Lissone - Biblioteca del Mobile e dell'Arredamento;LISSONE;MB;20035;PIAZZA IV NOVEMBRE 2;566;15173;6940;45,60954484;9,24385868
15;15146;Milano - Deposito prestito interbibliotecario;MILANO;MI;20131;VIA BOIFAVA 17 ;450;;;;
16;19044;Formigara - Biblioteca Comunale;FORMIGARA;CR;26020;PIAZZA EUROPA 11;223;6120;1666,69;45,22406298;9,77053493
17;12026;Busto Arsizio - Biblioteca Comunale;BUSTO ARSIZIO;VA;21052;VIA MARLIANI 7;2355;;;;
18;98008;Casaletto Lodigiano - Biblioteca Comunale;CASALETTO LODIGIANO;LO;26852;VIA MAZZINI ;59;3529;2869,95;45,31051201;9,36086322
19;18047;Cervesina - Biblioteca Comunale;CERVESINA;PV;27050;VIA ROMA 9;60;0;737,4;45,06290151;9,01382264
20;16109;Gandosso - Biblioteca Comunale;GANDOSSO;BG;24060;VIA AVIS 6;200;2999;17560,24;45,66467404;9,90250563
21;18086;Marcignago - Biblioteca Comunale;MARCIGNAGO;PV;27020;PIAZZETTA MELLA ;500;3500;970,32;;
22;15061;Cassinetta di Lugagnano - Civica Biblioteca E. G. Oreglia D'Isola;CASSINETTA DI LUGAGNANO;MI;20081;PIAZZA NEGRI 3;56;9494;7294,4;45,42568127;8,90967851
23;18139;Santa Cristina e Bissone - Biblioteca Comunale;SANTA CRISTINA E BISSONE;PV;27010;VIA ROMA 4;230;8289;426,93;45,15709084;9,4013315
24;108033;Monza - Biblioteca Comunale Cederna;MONZA;MB;20052;VIA ZUCCOLI 16;700;27608;;45,5804935;9,3020225
25;17172;San Gervasio Bresciano - Biblioteca Comunale;SAN GERVASIO BRESCIANO;BS;25020;VIA BARBARA FERRAZZI 24;90;7831;14234,98;45,30631329;10,15108449
26;17015;Berlingo - Biblioteca Comunale G.B. Zotti;BERLINGO;BS;25030;PIAZZA ALDO MORO 5;202;8547;19014,21;45,50244872;10,03987136
27;20016;Castellucchio - Biblioteca Comunale;CASTELLUCCHIO;MN;46014;PIAZZA PASOTTI 26;1945;4983;17016,5;45,14907123;10,64563781
28;15181;Rescaldina - Biblioteca Comunale;RESCALDINA;MI;20027;VIA BATTISTI 3;1000;20959;167199,25;45,6182369;8,9489495
29;16075;Ciserano - Biblioteca Comunale;CISERANO;BG;24040;PIAZZA DELLA PACE ;180;20546;44392,4;45,58781152;9,60113734
30;13024;Bizzarone - Biblioteca dell'Unione di Comuni Terre di Frontiera;BIZZARONE;CO;22020;VIA GIACOMO MATTEOTTI 5;61;6572;;45,83434585;8,9439045
31;15139;Mediglia - Biblioteca Comunale;MEDIGLIA;MI;20060;VIA I MAGGIO 32;200;4490;47378,09;45,42139513;9,36510872
32;17161;Rezzato - Biblioteca Comunale;REZZATO;BS;25086;VIA LEONARDO DA VINCI 44;1365;58771;240661,45;45,51232324;10,32321819
33;98002;Bertonico - Biblioteca Comunale;BERTONICO;LO;26821;VIA GIUSEPPE GARIBALDI 25 ;70;1623;14901,8;45,23463438;9,67275605
34;13040;Campione d'Italia - Biblioteca Comunale;CAMPIONE D'ITALIA;CO;22060;VIALE MATTEO 5;100;8383;70000;45,97243544;8,97193021
35;16218;Trescore Balneario - Biblioteca Comunale Angelo Meli;TRESCORE BALNEARIO;BG;24069;VIA ROMA 140;850;42357;151762,94;45,68658543;9,8376151
36;15146;Milano - Biblioteca Comunale Rionale Affori;MILANO;MI;20131;VIALE AFFORI 21;1250;44541;;45,51688606;9,16785325
37;15032;Bresso - Biblioteca Comunale;BRESSO;MI;20091;VIA CAVOUR 2;400;55429;164108,83;45,53658975;9,18807279
38;16024;Bergamo - Biblioteca Comunale Circoscrizionale G.Gavazzeni;BERGAMO;BG;24123;PIAZZA MERCATO DELLE SCARPE ;265;14035;;45,70301748;9,66505513
39;18147;Scaldasole - Biblioteca Comunale;SCALDASOLE;PV;27020;VIA XI FEBBRAIO 15;158;4395;;45,12425244;8,91010336
40;15071;Cerro al Lambro - Biblioteca Comunale;CERRO AL LAMBRO;MI;20070;PIAZZA ROMA 20;60;5782;22895,82;45,37837;9,3439825
41;19034;Credera Rubbiano - Biblioteca Comunale;CREDERA RUBBIANO;CR;26010;VIA ROMA 28;50;4092;2398;45,30248027;9,65539361
42;16189;San Paolo d'Argon - Biblioteca Comunale Luigi Cortesi;SAN PAOLO D'ARGON;BG;24060;VIALE DELLA RIMEMBRANZA 41;923;18701;88037,26;45,69033931;9,80358134
43;98036;Marudo - Biblioteca Comunale;MARUDO;LO;26866;VIA GUGLIELMO MARCONI 9;60;3645;4871,73;45,25342579;9,37453593
44;12133;Varese - Biblioteca Rionale di San Fermo;VARESE;VA;21100;VIA E. MARZOLI 9;205;15289;39974,38;45,83117194;8,84593914
45;17169;Sale Marasino - Biblioteca Comunale;SALE MARASINO;BS;25057;VIA GIUSEPPE MAZZINI 71;170;14295;23773;45,71348409;10,1116819
46;12133;Varese - Biblioteca del Centro Servizi per il Volontariato;VARESE;VA;21100;VIA BRAMBILLA 15;90;1850;3727,89;45,8249256;8,81847119
47;97024;Colle Brianza - Biblioteca Teresa e Giovanni Argentini;COLLE BRIANZA;LC;23886;PIAZZA ROMA 4;70;6742;11226,54;45,76320148;9,36405874
48;16071;Cerete - Biblioteca Comunale;CERETE;BG;24020;VIA GIUSEPPE VERDI 1;100;10016;15652,59;45,86117386;9,99203674
49;17008;Azzano Mella - Biblioteca Comunale;AZZANO MELLA;BS;25020;VIA VITTORIO VENETO 2;45;8280;20747,88;45,45443771;10,11694855
